76,天使爱美丽,623562人评价,法式小清新。 ,8.7
77,沉默的羔羊,466913人评价,安东尼·霍普金斯的顶级表演。,8.8
78,勇敢的心,370238人评价,史诗大片的典范。,8.9
79,猫鼠游戏,359578人评价,骗子大师和执著警探的你追我跑故事。 ,8.9
80,蝴蝶效应,513934人评价,人的命运被自己瞬间的抉择改变。,8.7
81,剪刀手爱德华,638242人评价,浪漫忧郁的成人童话。,8.7
82,春光乍泄,342124人评价,爱情纠缠，男女一致。,8.9
83,心灵捕手,374728人评价,人生中应该拥有这样的一段豁然开朗。,8.8
84,禁闭岛,499593人评价,昔日翩翩少年，今日大腹便便。,8.7
85,布达佩斯大饭店,462590人评价,小清新的故事里注入了大历史的情怀。,8.8
86,穿条纹睡衣的男孩,229133人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,9.0
87,入殓师,386416人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,8.8
88,阿凡达,733413人评价,绝对意义上的美轮美奂。,8.7
89,幽灵公主,314241人评价,人与自然的战争史诗。,8.8
90,阳光灿烂的日子,359587人评价,一场华丽的意淫。,8.8
91,致命ID,428204人评价,最不可能的那个人永远是最可能的。,8.7
92,第六感,308016人评价,深入内心的恐怖，出人意料的结局。,8.8
93,加勒比海盗,482466人评价,约翰尼·德普的独角戏。,8.7
94,狩猎,184750人评价,人言可畏。,9.1
95,玛丽和马克思,278546人评价,你是我最好的朋友，你是我唯一的朋友 。,8.9
96,断背山,423133人评价,每个人心中都有一座断背山。,8.7
97,重庆森林,440655人评价,寂寞没有期限。,8.7
98,摩登时代,134733人评价,大时代中的人生，小人物的悲喜。,9.2
99,喜剧之王,469788人评价,我是一个演员。,8.7
100,告白,442531人评价,没有一人完全善，也没有一人完全恶。,8.7
101,大鱼,327841人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,8.8
102,消失的爱人,490490人评价,年度最佳date movie。,8.7
103,一一,199503人评价,我们都曾经是一一。,9.0
104,射雕英雄传之东成西就,361781人评价,百看不厌。 ,8.7
105,阳光姐妹淘,354389人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,8.8
106,甜蜜蜜,291833人评价,相逢只要一瞬间，等待却像是一辈子。,8.8
107,爱在黎明破晓前,301006人评价,缘分是个连绵词，最美不过一瞬。,8.8
108,小森林 夏秋篇,204093人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。,9.0
109,驯龙高手,405044人评价,和谐的生活离不开摸头与被摸头。,8.7
110,侧耳倾听,234643人评价,少女情怀总是诗。,8.8
111,红辣椒,192776人评价,梦的勾结。,8.9
112,请以你的名字呼唤我,292284人评价,沉醉在电影的情感和视听氛围中无法自拔。,8.8
113,倩女幽魂,368867人评价,两张绝世的脸。 ,8.7
114,恐怖直播,323768人评价,恐怖分子的“秋菊打官司”。,8.7
115,风之谷,231506人评价,动画片的圣经。,8.8
116,上帝之城,191520人评价,被上帝抛弃了的上帝之城。,8.9
117,超脱,237821人评价,穷尽一生，我们要学会的，不过是彼此拥抱。,8.8
118,爱在日落黄昏时,263063人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,8.8
119,菊次郎的夏天,257815人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,8.8
120,幸福终点站,291720人评价,有时候幸福需要等一等。 ,8.7
121,哈利·波特与死亡圣器(下),379810人评价,10年的完美句点。,8.7
122,小森林 冬春篇,178120人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,9.0
123,杀人回忆,282383人评价,关于连环杀人悬案的集体回忆。,8.7
124,7号房的礼物,251169人评价,《我是山姆》的《美丽人生》。,8.8
125,神偷奶爸,530831人评价,Mr. I Don't Care其实也有Care的时候。,8.5
126,借东西的小人阿莉埃蒂,286145人评价,曾经的那段美好会沉淀为一辈子的记忆。,8.7
127,萤火之森,234792人评价,触不到的恋人。,8.8
128,唐伯虎点秋香,496888人评价,华太师是黄霑，吴镇宇四大才子之一。,8.5
129,蝙蝠侠：黑暗骑士崛起,387126人评价,诺兰就是保证。,8.7
130,超能陆战队,520214人评价,Balalala~~~,8.6
131,怪兽电力公司,337185人评价,不要给它起名字，起了名字就有感情了。,8.6
132,岁月神偷,376847人评价,岁月流逝，来日可追。,8.7
133,电锯惊魂,265763人评价,真相就在眼前。,8.7
134,七武士,102721人评价,时代悲歌。,9.2
135,谍影重重3,239077人评价,像吃了苏打饼一样干脆的电影。,8.7
136,真爱至上,410382人评价,爱，是个动词。,8.6
